fips,NAME,B01001_001E,B01001_002E,B01001_026E,B02001_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_009E,B02001_010E,state,county
006033,"Lake County, California",64148,31879,32269,64148,49463,1562,2426,661,30,8048,1958,314,1644,06,033
006043,"Mariposa County, California",17540,8920,8620,17540,15579,166,397,243,54,396,705,29,676,06,043
006115,"Yuba County, California",75493,38468,37025,75493,56344,2432,1079,5104,343,4126,6065,651,5414,06,115
006013,"Contra Costa County, California",1133247,553701,579546,1133247,648325,97333,5529,185065,5585,112976,78434,14088,64346,06,013
006035,"Lassen County, California",31185,20671,10514,31185,25672,2738,877,437,205,590,666,97,569,06,035
006083,"Santa Barbara County, California",443738,222208,221530,443738,344026,8626,4389,23863,814,42024,19996,4055,15941,06,083
006097,"Sonoma County, California",501317,245196,256121,501317,375519,7960,4854,20087,1636,63422,27839,6031,21808,06,097
006025,"Imperial County, California",180216,92250,87966,180216,115817,4591,1801,2684,419,47362,7542,3399,4143,06,025
006051,"Mono County, California",14174,7341,6833,14174,12017,105,527,339,0,801,385,70,315,06,051
006001,"Alameda County, California",1643700,807171,836529,1643700,681725,177135,10712,486434,13768,169771,104155,20044,84111,06,001
006067,"Sacramento County, California",1510023,737742,772281,1510023,875793,149064,10340,235474,16715,115072,107565,17250,90315,06,067
006055,"Napa County, California",140530,70082,70448,140530,102711,2867,1198,11373,272,16738,5371,1164,4207,06,055
006053,"Monterey County, California",433212,220967,212245,433212,256709,11200,3221,24342,2011,117386,18343,3699,14644,06,053
006091,"Sierra County, California",2930,1542,1388,2930,2890,6,25,0,0,0,9,0,9,06,091
006073,"San Diego County, California",3302833,1661931,1640902,3302833,2335447,166412,20980,390418,13903,205307,170366,29046,141320,06,073
006113,"Yolo County, California",214977,104375,110602,214977,145778,5834,1247,29612,984,17774,13748,1959,11789,06,113
006023,"Humboldt County, California",135768,67666,68102,135768,108784,1585,6797,4160,436,5778,8228,373,7855,06,023
006003,"Alpine County, California",1146,612,534,1146,723,9,311,8,8,0,87,0,87,06,003
006045,"Mendocino County, California",87422,43439,43983,87422,73121,531,3591,1689,170,4020,4300,277,4023,06,045
006087,"Santa Cruz County, California",273765,135727,138038,273765,208476,2596,1375,12601,316,35546,12855,2358,10497,06,087
006037,"Los Angeles County, California",10098052,4976788,5121264,10098052,5186859,823987,70527,1469968,27929,2121102,397680,113303,284377,06,037
006065,"Riverside County, California",2383286,1186188,1197098,2383286,1450134,153545,19281,152130,6843,495241,106112,29644,76468,06,065
006085,"Santa Clara County, California",1922200,970469,951731,1922200,865460,48058,9303,689176,7541,205997,96665,19085,77580,06,085
006041,"Marin County, California",260295,127113,133182,260295,203342,5709,737,15000,584,22262,12661,1867,10794,06,041
006093,"Siskiyou County, California",43540,21706,21834,43540,36971,632,1469,678,149,719,2922,268,2654,06,093
006089,"Shasta County, California",179085,87859,91226,179085,155840,2209,4704,5427,191,3415,7299,910,6389,06,089
006015,"Del Norte County, California",27424,14575,12849,27424,20958,785,2024,977,17,968,1695,232,1463,06,015
006079,"San Luis Obispo County, California",281455,142769,138686,281455,242078,5265,1900,10234,258,11581,10139,1605,8534,06,079
006021,"Glenn County, California",27897,14171,13726,27897,23127,255,670,820,51,2416,558,21,537,06,021
006007,"Butte County, California",227075,112513,114562,227075,186095,3477,2885,10151,427,9890,14150,1691,12459,06,007
