date,county,state,fips,cases,deaths
4/20/20,Autauga,Alabama,1001,28,1
4/20/20,Baldwin,Alabama,1003,117,3
4/20/20,Barbour,Alabama,1005,22,0
4/20/20,Bibb,Alabama,1007,32,0
4/20/20,Blount,Alabama,1009,22,0
4/20/20,Bullock,Alabama,1011,11,0
4/20/20,Butler,Alabama,1013,14,0
4/20/20,Calhoun,Alabama,1015,80,3
4/20/20,Chambers,Alabama,1017,257,13
4/20/20,Cherokee,Alabama,1019,12,0
4/20/20,Chilton,Alabama,1021,43,0
4/20/20,Choctaw,Alabama,1023,17,0
4/20/20,Clarke,Alabama,1025,24,1
4/20/20,Clay,Alabama,1027,19,0
4/20/20,Cleburne,Alabama,1029,12,1
4/20/20,Coffee,Alabama,1031,64,0
4/20/20,Colbert,Alabama,1033,16,1
4/20/20,Conecuh,Alabama,1035,9,0
4/20/20,Coosa,Alabama,1037,23,1
4/20/20,Covington,Alabama,1039,24,0
4/20/20,Crenshaw,Alabama,1041,6,0
4/20/20,Cullman,Alabama,1043,44,0
4/20/20,Dale,Alabama,1045,21,0
4/20/20,Dallas,Alabama,1047,26,2
4/20/20,DeKalb,Alabama,1049,46,2
4/20/20,Elmore,Alabama,1051,68,1
4/20/20,Escambia,Alabama,1053,16,0
4/20/20,Etowah,Alabama,1055,100,7
4/20/20,Fayette,Alabama,1057,3,0
4/20/20,Franklin,Alabama,1059,18,0
4/20/20,Geneva,Alabama,1061,4,0
4/20/20,Greene,Alabama,1063,32,0
4/20/20,Hale,Alabama,1065,31,1
4/20/20,Henry,Alabama,1067,18,0
4/20/20,Houston,Alabama,1069,70,2
4/20/20,Jackson,Alabama,1071,39,2
4/20/20,Jefferson,Alabama,1073,688,26
4/20/20,Lamar,Alabama,1075,9,0
4/20/20,Lauderdale,Alabama,1077,24,4
4/20/20,Lawrence,Alabama,1079,10,0
4/20/20,Lee,Alabama,1081,311,15
4/20/20,Limestone,Alabama,1083,40,0
4/20/20,Lowndes,Alabama,1085,31,0
4/20/20,Macon,Alabama,1087,26,2
4/20/20,Madison,Alabama,1089,202,4
4/20/20,Marengo,Alabama,1091,30,2
4/20/20,Marion,Alabama,1093,63,5
4/20/20,Marshall,Alabama,1095,167,3
4/20/20,Mobile,Alabama,1097,680,33
